Date,Facebook,CocaCola,GeneralMotors
14/11/2016,115.08,41.17,33.28
15/11/2016,117.20,41.44,33.43
16/11/2016,116.34,41.26,33.23
17/11/2016,117.79,41.12,33.42
18/11/2016,117.02,40.91,33.00
21/11/2016,121.77,41.36,33.01
22/11/2016,121.47,41.37,33.81
23/11/2016,120.84,41.12,33.86
25/11/2016,120.38,41.53,34.25
28/11/2016,120.41,41.75,34.05
29/11/2016,120.87,41.15,34.57
30/11/2016,118.42,40.35,34.53
01/12/2016,115.10,40.17,36.43
02/12/2016,115.40,40.36,35.41
05/12/2016,117.43,40.62,34.94
06/12/2016,117.31,40.57,35.07
07/12/2016,117.95,41.29,36.30
08/12/2016,118.91,40.98,36.42
09/12/2016,119.68,42.00,37.66
12/12/2016,117.77,41.90,37.10
13/12/2016,120.31,41.76,37.36
14/12/2016,120.21,41.21,35.95
15/12/2016,120.57,41.55,36.24
16/12/2016,119.87,41.74,36.37
19/12/2016,119.24,41.67,36.40
20/12/2016,119.09,41.66,36.61
21/12/2016,119.04,41.57,36.42
22/12/2016,117.40,41.55,35.69
23/12/2016,117.27,41.60,35.69
27/12/2016,118.01,41.61,35.54
28/12/2016,116.92,41.39,35.15
29/12/2016,116.35,41.60,35.14
30/12/2016,115.05,41.46,34.84
03/01/2017,116.86,41.80,35.15
