date,Hedge Fund A,Hedge Fund B,Hedge Fund C,Hedge Fund D,Hedge Fund E
31/08/2012,-1.35,3.69,0.36,0.74,1.23
30/09/2012,1.09,0.84,1.9,0.39,-1.19
31/10/2012,-1.98,-1.52,2.21,0.41,-2.89
30/11/2012,0.41,-1.91,-1.1,0.73,-0.68
31/12/2012,5.11,3.57,3.16,0.39,0.8
31/01/2013,6.49,6.15,2.93,1.54,4.91
28/02/2013,0.51,1.01,1.9,0.45,0.33
31/03/2013,3.35,2.92,2.7,1.07,3.84
30/04/2013,2.6,3.4,3.43,0.46,2.38
31/05/2013,4.51,6.37,2.95,0.85,2.77
30/06/2013,5.25,-0.02,-2.54,1.07,-1
31/07/2013,-6.95,9.54,1.19,1.02,-0.14
31/08/2013,-0.99,-2.12,0.39,0.56,0.72
30/09/2013,-1.97,4.24,1.41,1.13,0.86
31/10/2013,-4.35,0.26,3.35,1.12,2.45
30/11/2013,4.24,2.28,2.32,0.98,2.37
31/12/2013,5.19,3.94,1.75,1.16,1.56
31/01/2014,-5.07,0.6,-1.65,1.93,-2.09
28/02/2014,-4.1,3.72,3.74,1.94,3.13
31/03/2014,-0.74,5.79,-0.7,-0.76,-2.48
30/04/2014,-5.89,3.05,-0.22,-1.26,0.2
31/05/2014,-4.96,3.19,1.34,1.22,-1.89
30/06/2014,-1.32,-4.35,0.29,0.15,2.15
31/07/2014,0.75,7.22,0.15,0.49,-1.95
31/08/2014,-4.49,5.12,-0.99,1.05,-1.05
30/09/2014,0,0.84,-2.63,1.97,-1.02
31/10/2014,0,-3.72,-1.51,-0.17,-7.06
30/11/2014,0,-6.71,0.53,1.74,0.07
31/12/2014,0,-4.5,-1.29,1.68,-2.87
31/01/2015,0,-4.5,-2.22,1.65,-0.27
28/02/2015,0,3.07,2.66,0.41,0.76
31/03/2015,0,-1.13,-1.05,2.52,-1.11
30/04/2015,0,6.42,0.61,-0.81,0
